age,male,female
0,1399,1106
1,107,108
2,57,54
3,51,39
4,45,33
5,33,25
6,32,31
7,38,13
8,30,28
9,38,22
10,35,22
11,27,30
12,34,27
13,36,26
14,55,32
15,75,45
16,101,58
17,111,57
18,178,77
19,174,67
20,199,72
21,210,72
22,216,61
23,197,77
24,232,87
25,222,99
26,242,82
27,256,107
28,278,126
29,283,141
30,318,162
31,310,176
32,319,177
33,394,197
34,383,201
35,402,219
36,432,264
37,500,242
38,559,308
39,584,323
40,611,306
41,698,368
42,709,389
43,736,449
44,833,448
45,966,565
46,1173,643
47,1376,787
48,1580,943
49,1934,1093
50,2257,1237
51,2539,1499
52,2893,1556
53,3321,1744
54,3662,1946
55,4095,2216
56,4356,2382
57,4873,2545
58,5037,2703
59,5355,2890
60,5719,3023
61,5992,3245
62,6440,3440
63,6729,3743
64,7098,4155
65,7393,4189
66,8005,4619
67,8382,4803
68,8760,5219
69,8848,5442
70,8592,5334
71,8913,5466
72,7463,4859
73,9220,6270
74,11567,7753
75,11779,8179
76,14097,10051
77,16043,11728
78,18119,14008
79,18475,14821
80,18152,15212
81,18418,16463
82,18612,18023
83,18563,19179
84,16280,17786
85,14651,17305
86,14923,18899
87,14949,20991
88,14726,22002
89,13728,21894
90,11749,21143
91,9569,20105
92,8147,19066
93,6245,17202
94,4584,14161
95,3655,12156
96,2758,10420
97,1986,8020
98,1295,5641
99,465,2319
100,747,4706
