CountryCode,Sex,Age,,Count
826,B,0,0,2
826,B,1,4,1
826,B,5,9,3
826,B,10,14,9
826,B,15,19,21
826,B,20,24,56
826,B,25,29,121
826,B,30,34,223
826,B,35,39,399
826,B,40,44,672
826,B,45,49,1324
826,B,50,54,2441
826,B,55,59,4013
826,B,60,64,6068
826,B,65,69,8193
826,B,70,74,13033
826,B,75,79,18173
826,B,80,84,24694
826,B,85,89,27148
826,B,90,100,29685
826,M,0,0,2
826,M,1,4,0
826,M,5,9,0
826,M,10,14,5
826,M,15,19,13
826,M,20,24,33
826,M,25,29,73
826,M,30,34,133
826,M,35,39,234
826,M,40,44,403
826,M,45,49,805
826,M,50,54,1503
826,M,55,59,2593
826,M,60,64,3960
826,M,65,69,5198
826,M,70,74,8170
826,M,75,79,11007
826,M,80,84,13985
826,M,85,89,13904
826,M,90,100,11888
826,F,0,0,0
826,F,1,4,1
826,F,5,9,3
826,F,10,14,4
826,F,15,19,8
826,F,20,24,23
826,F,25,29,48
826,F,30,34,90
826,F,35,39,165
826,F,40,44,269
826,F,45,49,519
826,F,50,54,938
826,F,55,59,1420
826,F,60,64,2108
826,F,65,69,2995
826,F,70,74,4863
826,F,75,79,7166
826,F,80,84,10709
826,F,85,89,13244
826,F,90,100,17797
