"Id","Dland","Anzahl","Deutsche","NichtDeutsche"
0,"Deutschland",83166711,72768689,10398022
1,"Schleswig-Holstein",2903773,2659604,244169
2,"Hamburg",1847253,1541632,305621
3,"Niedersachsen",7993608,7220393,773215
4,"Bremen",681202,555005,126197
5,"Nordrhein-Westfalen",17947221,15502665,2444556
6,"Hessen",6288080,5244990,1043090
7,"Rheinland-Pfalz",4093903,3623676,470227
8,"Baden-Württemberg",11100394,9338713,1761681
9,"Bayern",13124737,11344979,1779758
10,"Saarland",986887,873967,112920
11,"Berlin",3669491,2963425,706066
12,"Brandenburg",2521893,2397020,124873
13,"Mecklenburg-Vorpommern",1608138,1533331,74807
14,"Sachsen",4071971,3863937,208034
15,"Sachsen-Anhalt",2194782,2083117,111665
16,"Thüringen",2133378,2022235,111143
