Jahr,Kw,Y0,Y10,Y20,Y30,Y40,Y50,Y60,Y70,Y80,Y90
2020,10,0,0,0,0,0,0,0,0,0,0
2020,11,0,0,0,0,0,0,0,0,0,0
2020,12,0,0,0,0,0,0,0,0,0,0
2020,13,0,0,1,0,1,3,9,21,92,25
2020,14,0,0,0,0,0,14,35,87,275,107
2020,15,0,0,0,0,0,33,65,214,554,269
2020,16,0,0,0,0,0,50,102,312,903,475
2020,17,1,0,2,4,9,1,129,414,1206,675
2020,18,1,0,2,5,11,54,152,484,1427,796
2020,19,1,0,2,6,13,61,176,538,1582,901
2020,20,1,0,2,6,15,67,188,579,1689,981
2020,21,1,0,2,6,17,72,202,602,1753,1025
2020,22,1,0,2,6,18,72,211,618,1808,1025
2020,23,1,0,3,6,19,76,211,636,1839,1079
2020,24,1,0,3,6,20,81,217,651,1855,1085
2020,25,1,0,3,6,20,83,221,655,1866,1107
2020,26,1,0,3,6,22,84,224,659,1884,1113
2020,27,1,0,3,6,22,85,227,664,1897,1120
2020,28,1,0,3,6,22,85,231,669,1905,1129
2020,29,1,0,3,6,22,85,232,671,1908,1131
2020,30,1,0,3,6,22,86,233,670,1917,1135
2020,31,1,0,3,6,22,87,235,672,1921,1138
2020,32,1,0,3,6,22,87,235,676,1928,1142
2020,33,1,0,3,6,22,88,235,677,1937,1144
2020,34,1,0,3,6,22,89,235,680,1947,1150
2020,35,1,0,3,6,22,90,237,680,1952,1151
2020,36,1,0,3,6,22,91,239,681,1957,1152
2020,37,1,0,3,7,23,92,240,683,1961,1153
2020,38,1,0,3,8,23,94,241,690,1964,1157
2020,39,1,0,3,8,23,94,241,700,1976,1168
2020,40,1,0,3,9,24,95,241,704,1995,1175
2020,41,1,0,3,8,24,96,244,708,2006,1185
2020,42,2,0,3,9,25,98,246,719,2053,1204
2020,43,1,0,3,9,25,100,258,736,2114,1243
2020,44,1,0,3,9,30,101,268,775,2223,1324
2020,45,2,0,5,9,31,114,282,829,2394,1459
2020,46,2,0,4,12,37,120,311,906,2672,1640
2020,47,2,0,5,13,40,131,339,1012,3006,1773
2020,48,4,1,6,15,46,149,391,1189,3546,2198
2020,49,5,0,9,17,47,168,468,1381,4165,2651
2020,50,7,1,10,20,53,187,534,1607,4933,3096
2020,51,8,1,11,24,66,206,620,1920,6003,3834
2020,52,7,0,10,24,71,240,701,2180,6952,4450
2020,53,9,0,13,26,77,271,803,2458,8060,5190
2021,1,7,0,14,27,85,312,933,2841,9498,6149
2021,2,6,0,14,29,90,349,1069,3237,10922,7182
2021,3,7,0,14,33,101,400,1185,3603,12210,8021
2021,4,8,0,18,33,104,431,1298,3951,13414,8851
2021,5,5,2,19,30,110,460,1391,4230,14376,9570
2021,6,6,0,19,32,111,489,1483,4474,15150,10084
