Datum,Tage,Altersgruppe,Testungen,Positiv
2020-08-18,14,0,15029,150
2020-08-18,14,5,30610,467
2020-08-18,14,15,113696,1782
2020-08-18,14,35,160291,1598
2020-08-18,14,60,77793,368
2020-08-18,14,80,39822,140
2020-08-04,7,0,7016,46
2020-08-04,7,5,11045,137
2020-08-04,7,15,45688,589
2020-08-04,7,35,61385,740
2020-08-04,7,60,36856,184
2020-08-04,7,80,20369,70
2020-07-28,7,0,8704,42
2020-07-28,7,5,13629,100
2020-07-28,7,15,41893,426
2020-07-28,7,35,57378,501
2020-07-28,7,60,35120,156
2020-07-28,7,80,19972,58
2020-07-21,7,0,13190,44
2020-07-21,7,5,17285,90
2020-07-21,7,15,44310,373
2020-07-21,7,35,62235,480
2020-07-21,7,60,42498,194
2020-07-21,7,80,23897,67
2020-07-14,7,0,12380,46
2020-07-14,7,5,14533,82
2020-07-14,7,15,35039,312
2020-07-14,7,35,49916,308
2020-07-14,7,60,34711,85
2020-07-14,7,80,19729,49
2020-07-07,7,0,9923,41
2020-07-07,7,5,12752,80
2020-07-07,7,15,34065,290
2020-07-07,7,35,52366,355
2020-07-07,7,60,38931,150
2020-07-07,7,80,21806,87
2020-06-30,6,0,6487,34
2020-06-30,6,5,10379,53
2020-06-30,6,15,24596,220
2020-06-30,6,35,38321,292
2020-06-30,6,60,27311,85
2020-06-30,6,80,15370,39
2020-06-24,7,0,8145,63
2020-06-24,7,5,10213,181
2020-06-24,7,15,39224,748
2020-06-24,7,35,61447,1164
2020-06-24,7,60,44648,415
2020-06-24,7,80,30450,228
2020-06-17,7,0,3177,31
2020-06-17,7,5,3661,53
2020-06-17,7,15,15640,215
2020-06-17,7,35,24853,192
2020-06-17,7,60,21343,70
2020-06-17,7,80,13962,52
2020-06-10,8,0,4988,67
2020-06-10,8,5,6134,111
2020-06-10,8,15,35037,897
2020-06-10,8,35,55210,1219
2020-06-10,8,60,42051,626
2020-06-10,8,80,26637,363
2020-06-02,7,0,4067,66
2020-06-02,7,5,5493,164
2020-06-02,7,15,30952,857
2020-06-02,7,35,51942,1336
2020-06-02,7,60,33043,565
2020-06-02,7,80,22213,546
2020-05-26,7,0,2900,29
2020-05-26,7,5,3300,38
2020-05-26,7,15,21248,307
2020-05-26,7,35,34390,383
2020-05-26,7,60,27393,202
2020-05-26,7,80,17758,200
2020-05-19,14,0,5120,42
2020-05-19,14,5,5872,106
2020-05-19,14,15,43809,601
2020-05-19,14,35,73375,745
2020-05-19,14,60,53637,426
2020-05-19,14,80,34523,438
2020-05-05,7,0,4179,92
2020-05-05,7,5,5686,172
2020-05-05,7,15,37211,2015
2020-05-05,7,35,57928,2931
2020-05-05,7,60,29665,1363
2020-05-05,7,80,19430,1050
2020-04-28,5,0,1706,46
2020-04-28,5,5,2241,125
2020-04-28,5,15,24012,1339
2020-04-28,5,35,41428,2141
2020-04-28,5,60,20071,1034
2020-04-28,5,80,12808,717
